"","rider_id","avg_assign","avg_pickup","avg_deliver","avg_waiting","avg_ODdist","daily_delivered_stores","daily_franchise_share","num_working_days","share_weekdays","tenure","avg_order_level","Treat","avg_orders_shift","avg_duration_shift","median_idle_shift","prof","prof30","prof50","prof70","prof90","prof_low","prof_med","prof_high","avg_total_shift","avg_share_aggshift","avg_orders_aggshift","avg_duration_aggshift","avg_working_duration","avg_idle_duration","daily_total_order","avg_share_workingd","avg_share_idled","avg_orders_per_workingd","avg_daily_profit","distance","weights","subclass"
"1",7643,190.279835390946,209.497942386831,457.506172839506,857.283950617284,1.54618032822292,7.53846153846154,0.200883511912924,6,0.66031746031746,1151,3064.3084175135,0,1.36516853932584,665.241573033708,24.2333333333333,6.19760585863565,1,1,1,0,1,1,1,6.84615384615385,0.284576854769162,2.26893939393939,911.683712121212,4554.34615384615,1287.44510683761,9.34615384615385,0.861696287836277,0.138303712163723,6.19760585863565,28088.4615384615,0.415121126960886,1,"41"
"2",7803,123.202306079665,229.35534591195,537.320754716981,889.878406708595,1.48053267756734,22,0.200635857302867,6,0.66031746031746,1145,3025.83526463214,1,1.73770491803279,879.684881602914,322,5.18949267826048,1,1,0,0,1,1,0,20.3333333333333,0.508911735059396,2.41301545414033,1082.13284235099,17886.9259259259,7279.81111111111,35.3333333333333,0.724554731881791,0.275445268118209,5.18949267826048,106396.296296296,0.516068349312575,1,"32"
"3",8843,46.2394366197183,264.197183098592,424.323943661972,734.760563380282,1.29695004245065,2.375,0.311805555555556,5.33333333333333,0.626984126984127,1097,4530.73980025772,0,1.05970149253731,681.761194029851,36.925,5.42089242444248,1,1,0,0,1,1,0,2.79166666666667,0.0375,2.33333333333333,1121.33333333333,1903.25,222.460243055556,2.95833333333333,0.93115769099572,0.0688423090042804,5.42089242444248,8200,0.566417060781036,1,"56"
"10",11332,53.8236914600551,160.235537190083,428.097796143251,642.157024793388,1.20870089139142,19.125,0.20419121874714,5.33333333333333,0.611111111111111,991,3789.00196325889,1,1.38814531548757,617.147227533461,196,5.54470892201868,1,1,0,0,1,1,0,21.7916666666667,0.325151017468063,2.16971026658527,843.800529100529,13448.6666666667,6974.97430555556,30.25,0.684555067883719,0.315444932116281,5.54470892201868,91070.8333333333,0.481320031406161,1,"1"
"12",11703,21.2535684298908,400.35516372796,564.213266162888,985.821998320739,0.95483162513484,28.0909090909091,0.178360068837842,5.33333333333333,0.688888888888889,970,5499.36558205235,0,3.69875776397516,1536.53726708075,239,7.00416344697772,1,1,1,1,1,1,1,14.6363636363636,0.755182540891756,4.20127907076304,1767.633889038,22489.3181818182,4218.40606060606,54.1363636363636,0.866187888073835,0.133812111926165,7.00416344697772,154109.090909091,0.53094642957708,1,"97"
"15",11845,186.913357400722,581.043321299639,499.675090252708,1267.63176895307,1.69766035661017,5.91666666666667,0.142781986531987,5.66666666666667,0.71031746031746,962,2722.74672877153,0,1.82236842105263,1179.90789473684,35.9666666666667,4.87105886272517,1,0,0,0,1,0,0,6.33333333333333,0.431457225343095,2.74244987468672,1625.77415413534,7472.75,988.463483796296,11.5416666666667,0.941889591992051,0.0581104080079489,4.87105886272517,36572.9166666667,0.53261151770373,1,"40"
"16",12115,60.0084848484848,169.362424242424,504.121212121212,733.492121212121,1.25710928903969,20,0.174094144238376,5.66666666666667,0.644444444444444,948,3917.62600371234,0,1.48916967509025,687.359205776173,217.5,5.45958709216551,1,1,0,0,1,1,0,22.16,0.409320265242004,2.2952856032856,919.887425130425,15231.88,7916.80666666667,33,0.691201866059142,0.308798133940858,5.45958709216551,99132,0.566402329981974,1,"75"
"18",12891,45.6544342507645,195.608562691132,438.399592252803,679.662589194699,1.13885939752938,25.6818181818182,0.208827524501506,4.66666666666667,0.644444444444444,916,4220.63955888292,1,1.51388888888889,715.722222222222,234,5.31677551265868,1,1,0,0,1,1,0,29.4545454545455,0.385252078687603,2.39747724794516,1027.68910175535,21081.2727272727,10075.0909090909,44.5909090909091,0.689438450086666,0.310561549913334,5.31677551265868,133968.181818182,0.578384034725779,1,"24"
"21",14100,120.508241758242,605.71978021978,580.381868131868,1306.60989010989,1.17452277454994,6.79310344827586,0.28054713485748,6.66666666666667,0.698412698412698,875,3354.1250020819,0,2.19277108433735,1496.86746987952,44,4.67830512258393,0,0,0,0,0,0,0,5.72413793103448,0.582490498007739,2.86794217687075,1775.61215986395,8568.27586206897,910.73596743295,12.551724137931,0.932053825651434,0.0679461743485655,4.67830512258393,34651.724137931,0.715895685977471,1,"73"
"22",14205,18.4608695652174,393.860869565217,519.339130434783,931.660869565217,1.16424208863458,2.95652173913043,0.547826086956522,5.33333333333333,0.604761904761905,871,4134.82878125585,0,1.41975308641975,973.641975308642,35.9333333333333,5.05720423935791,1,0,0,0,1,0,0,3.52173913043478,0.279813664596273,2.41025641025641,1371.75641025641,3428.91304347826,362.900144927536,5,0.950706752788678,0.0492932472113218,5.05720423935791,14604.347826087,0.604262519442863,1,"51"
