"","rider_id","avg_assign","avg_pickup","avg_deliver","avg_waiting","avg_ODdist","daily_delivered_stores","daily_franchise_share","num_working_days","share_weekdays","tenure","avg_order_level","Treat","avg_orders_shift","avg_duration_shift","median_idle_shift","prof","prof30","prof50","prof70","prof90","prof_low","prof_med","prof_high","avg_total_shift","avg_share_aggshift","avg_orders_aggshift","avg_duration_aggshift","avg_working_duration","avg_idle_duration","daily_total_order","avg_share_workingd","avg_share_idled","avg_orders_per_workingd","avg_daily_profit","distance","weights","subclass"
"1",7643,190.279835390946,209.497942386831,457.506172839506,857.283950617284,1.54618032822292,7.53846153846154,0.200883511912924,6,0.66031746031746,1151,3064.3084175135,0,1.36516853932584,665.241573033708,24.2333333333333,6.19760585863565,1,1,1,0,1,1,1,6.84615384615385,0.284576854769162,2.26893939393939,911.683712121212,4554.34615384615,1287.44510683761,9.34615384615385,0.861696287836277,0.138303712163723,6.19760585863565,28088.4615384615,0.415121126960886,1,"99"
"2",7803,123.202306079665,229.35534591195,537.320754716981,889.878406708595,1.48053267756734,22,0.200635857302867,6,0.66031746031746,1145,3025.83526463214,1,1.73770491803279,879.684881602914,322,5.18949267826048,1,1,0,0,1,1,0,20.3333333333333,0.508911735059396,2.41301545414033,1082.13284235099,17886.9259259259,7279.81111111111,35.3333333333333,0.724554731881791,0.275445268118209,5.18949267826048,106396.296296296,0.516068349312575,1,"38"
"3",8843,46.2394366197183,264.197183098592,424.323943661972,734.760563380282,1.29695004245065,2.375,0.311805555555556,5.33333333333333,0.626984126984127,1097,4530.73980025772,0,1.05970149253731,681.761194029851,36.925,5.42089242444248,1,1,0,0,1,1,0,2.79166666666667,0.0375,2.33333333333333,1121.33333333333,1903.25,222.460243055556,2.95833333333333,0.93115769099572,0.0688423090042804,5.42089242444248,8200,0.566417060781036,1,"131"
"5",9535,41.2231686541738,375.076660988075,529.933560477002,946.23339011925,1.16776361372861,21.2380952380952,0.256745205390274,4.66666666666667,0.711111111111111,1067,3825.4139870201,1,2.58590308370044,1531.5859030837,135,5.23179680690606,1,1,0,0,1,1,0,10.8095238095238,0.580363159249714,3.64988095238095,2081.58771825397,16555.7142857143,2295.1126984127,27.952380952381,0.885394664140123,0.114605335859877,5.23179680690606,80385.7142857143,0.62274027363063,1,"128"
"6",9684,137.708333333333,350.34375,557.052083333333,1045.10416666667,1.66022182646116,7.23809523809524,0.166531105195701,5.33333333333333,0.688888888888889,1061,2562.6136099102,1,2,1234.65625,14.5666666666667,5.49822764166964,1,1,0,0,1,1,0,4.57142857142857,0.536355311355311,2.73488095238095,1491.49380952381,5644.14285714286,419.137698412698,9.14285714285714,0.927547439301767,0.0724525606982332,5.49822764166964,27809.5238095238,0.42463770047201,1,"135"
"7",9782,38.5,332.193181818182,478.977272727273,849.670454545455,1.24669934601512,10.1428571428571,0.139733742959549,4,1,1058,4121.61616919974,0,1.91304347826087,996.565217391304,163,6.38209750073494,1,1,1,0,1,1,1,6.57142857142857,0.374603174603175,2.67222222222222,1318.73333333333,6548.85714285714,1164.37619047619,12.5714285714286,0.929391834179536,0.0706081658204638,6.38209750073494,37057.1428571429,0.30804977540754,1,"47"
"12",11703,21.2535684298908,400.35516372796,564.213266162888,985.821998320739,0.95483162513484,28.0909090909091,0.178360068837842,5.33333333333333,0.688888888888889,970,5499.36558205235,0,3.69875776397516,1536.53726708075,239,7.00416344697772,1,1,1,1,1,1,1,14.6363636363636,0.755182540891756,4.20127907076304,1767.633889038,22489.3181818182,4218.40606060606,54.1363636363636,0.866187888073835,0.133812111926165,7.00416344697772,154109.090909091,0.53094642957708,1,"53"
"15",11845,186.913357400722,581.043321299639,499.675090252708,1267.63176895307,1.69766035661017,5.91666666666667,0.142781986531987,5.66666666666667,0.71031746031746,962,2722.74672877153,0,1.82236842105263,1179.90789473684,35.9666666666667,4.87105886272517,1,0,0,0,1,0,0,6.33333333333333,0.431457225343095,2.74244987468672,1625.77415413534,7472.75,988.463483796296,11.5416666666667,0.941889591992051,0.0581104080079489,4.87105886272517,36572.9166666667,0.53261151770373,1,"37"
"16",12115,60.0084848484848,169.362424242424,504.121212121212,733.492121212121,1.25710928903969,20,0.174094144238376,5.66666666666667,0.644444444444444,948,3917.62600371234,0,1.48916967509025,687.359205776173,217.5,5.45958709216551,1,1,0,0,1,1,0,22.16,0.409320265242004,2.2952856032856,919.887425130425,15231.88,7916.80666666667,33,0.691201866059142,0.308798133940858,5.45958709216551,99132,0.566402329981974,1,"36"
"17",12262,33.09396914446,509.762973352034,500.481065918654,1043.33800841515,0.995186660859037,18.1818181818182,0.284605042676903,6,0.777777777777778,941,4651.14597639355,0,3.93922651933702,1612.73480662983,139,7.74641422952182,1,1,1,1,1,1,1,8.22727272727273,0.812774473001746,4.60151515151515,1864.39810606061,13268.4090909091,1715.80681818182,32.4090909090909,0.901381453159719,0.0986185468402806,7.74641422952182,92295.4545454545,0.375648246310362,1,"119"
"18",12891,45.6544342507645,195.608562691132,438.399592252803,679.662589194699,1.13885939752938,25.6818181818182,0.208827524501506,4.66666666666667,0.644444444444444,916,4220.63955888292,1,1.51388888888889,715.722222222222,234,5.31677551265868,1,1,0,0,1,1,0,29.4545454545455,0.385252078687603,2.39747724794516,1027.68910175535,21081.2727272727,10075.0909090909,44.5909090909091,0.689438450086666,0.310561549913334,5.31677551265868,133968.181818182,0.578384034725779,1,"28"
"20",12941,12.0552325581395,461.933139534884,516.122093023256,990.110465116279,0.976073052455587,10.6,0.316304789981261,5,0.877777777777778,914,5228.85869924828,0,4.14457831325301,1859.34939759036,37,7.60453484620985,1,1,1,1,1,1,1,4.15,0.874404761904762,5.30583333333333,2386.72166666667,7716.3,499.101666666667,17.2,0.948292508507582,0.0517074914924183,7.60453484620985,49410,0.358759530067009,1,"35"
"21",14100,120.508241758242,605.71978021978,580.381868131868,1306.60989010989,1.17452277454994,6.79310344827586,0.28054713485748,6.66666666666667,0.698412698412698,875,3354.1250020819,0,2.19277108433735,1496.86746987952,44,4.67830512258393,0,0,0,0,0,0,0,5.72413793103448,0.582490498007739,2.86794217687075,1775.61215986395,8568.27586206897,910.73596743295,12.551724137931,0.932053825651434,0.0679461743485655,4.67830512258393,34651.724137931,0.715895685977471,1,"121"
"22",14205,18.4608695652174,393.860869565217,519.339130434783,931.660869565217,1.16424208863458,2.95652173913043,0.547826086956522,5.33333333333333,0.604761904761905,871,4134.82878125585,0,1.41975308641975,973.641975308642,35.9333333333333,5.05720423935791,1,0,0,0,1,0,0,3.52173913043478,0.279813664596273,2.41025641025641,1371.75641025641,3428.91304347826,362.900144927536,5,0.950706752788678,0.0492932472113218,5.05720423935791,14604.347826087,0.604262519442863,1,"27"
"23",14504,28.6530359355638,339.011152416357,487.397769516729,855.061957868649,0.859364426231866,34.4,0.199829770763849,2,0,861,4768.7706518545,1,3.25403225806452,1314.60080645161,200,7.49844489887347,1,1,1,1,1,1,1,24.8,0.69567447037466,4.48962910571727,1728.80923650016,32602.1,6520.605,80.7,0.849114398694896,0.150885601305104,7.49844489887347,225250,0.405035191406362,1,"51"
"24",15125,10.7237569060773,398.980662983425,441.795580110497,851.5,0.755578712283996,10.7222222222222,0.553200040700041,4.33333333333333,1,842,6771.28583303963,1,1.69158878504673,1021.22429906542,39.5333333333333,5.09940971661521,1,0,0,0,1,0,0,11.8888888888889,0.416453227237541,2.56981922398589,1394.76272045855,12141.2222222222,2454.325,20.1111111111111,0.854577335479661,0.145422664520339,5.09940971661521,58916.6666666667,0.659119153998457,1,"52"
"25",15664,81.582995951417,360.734817813765,496.109311740891,938.427125506073,1.64115482045729,23.3076923076923,0.2340045169359,2,1,825,2958.96308560227,0,1.70934256055363,1081.71280276817,222,4.37129306362081,0,0,0,0,0,0,0,22.2307692307692,0.473302222074601,2.6641450429912,1518.0896310954,24047.3076923077,8001.12179487179,38,0.75553924663581,0.24446075336419,4.37129306362081,115776.923076923,0.616387311524086,1,"3"
